t_start,t_end,n_e,n_t,n_d,boolq_baseline,boolq_k2,boolq_k3,arc_baseline,arc_k2,arc_k3,boolq_correct_baseline,boolq_correct_k2,boolq_correct_k3,arc_correct_baseline,arc_correct_k2,arc_correct_k3,seconds_total
5,20,5,16,15,0.862,0.38,0.67,0.532,0.24,0.238,431,190,335,266,120,119,716.569
5,21,5,17,14,0.862,0.376,0.702,0.532,0.244,0.23,431,188,351,266,122,115,725.252
5,22,5,18,13,0.862,0.376,0.66,0.532,0.22,0.234,431,188,330,266,110,117,734.001
5,23,5,19,12,0.862,0.47,0.632,0.532,0.234,0.236,431,235,316,266,117,118,756.834
5,24,5,20,11,0.862,0.468,0.63,0.532,0.244,0.24,431,234,315,266,122,120,780.044
5,25,5,21,10,0.862,0.486,0.63,0.532,0.238,0.24,431,243,315,266,119,120,792.249
5,26,5,22,9,0.862,0.77,0.65,0.532,0.244,0.238,431,385,325,266,122,119,802.666
5,27,5,23,8,0.862,0.67,0.654,0.532,0.256,0.246,431,335,327,266,128,123,814.936
5,28,5,24,7,0.862,0.736,0.672,0.532,0.286,0.254,431,368,336,266,143,127,826.129
6,20,6,15,15,0.862,0.372,0.63,0.532,0.23,0.232,431,186,315,266,115,116,726.874
6,21,6,16,14,0.862,0.37,0.63,0.532,0.226,0.23,431,185,315,266,113,115,737.256
6,22,6,17,13,0.862,0.37,0.63,0.532,0.224,0.232,431,185,315,266,112,116,746.214
6,23,6,18,12,0.862,0.484,0.63,0.532,0.23,0.232,431,242,315,266,115,116,758.834
6,24,6,19,11,0.862,0.57,0.63,0.532,0.244,0.234,431,285,315,266,122,117,769.081
6,25,6,20,10,0.862,0.59,0.63,0.532,0.252,0.236,431,295,315,266,126,118,778.756
6,26,6,21,9,0.862,0.804,0.63,0.532,0.242,0.248,431,402,315,266,121,124,791.181
6,27,6,22,8,0.862,0.73,0.63,0.532,0.26,0.254,431,365,315,266,130,127,801.64
6,28,6,23,7,0.862,0.778,0.632,0.532,0.292,0.254,431,389,316,266,146,127,813.181
7,20,7,14,15,0.862,0.854,0.808,0.532,0.5,0.412,431,427,404,266,250,206,718.823
7,21,7,15,14,0.862,0.86,0.814,0.532,0.484,0.392,431,430,407,266,242,196,725.715
7,22,7,16,13,0.862,0.836,0.8,0.532,0.476,0.388,431,418,400,266,238,194,736.145
7,23,7,17,12,0.862,0.82,0.746,0.532,0.484,0.416,431,410,373,266,242,208,746.541
7,24,7,18,11,0.862,0.802,0.704,0.532,0.474,0.412,431,401,352,266,237,206,755.58
7,25,7,19,10,0.862,0.816,0.74,0.532,0.504,0.452,431,408,370,266,252,226,768.09
7,26,7,20,9,0.862,0.84,0.832,0.532,0.51,0.478,431,420,416,266,255,239,778.977
7,27,7,21,8,0.862,0.856,0.856,0.532,0.51,0.48,431,428,428,266,255,240,790.919
7,28,7,22,7,0.862,0.858,0.846,0.532,0.52,0.508,431,429,423,266,260,254,801.749
8,20,8,13,15,0.862,0.856,0.836,0.532,0.506,0.444,431,428,418,266,253,222,705.192
8,21,8,14,14,0.862,0.856,0.822,0.532,0.498,0.418,431,428,411,266,249,209,715.7
8,22,8,15,13,0.862,0.85,0.814,0.532,0.476,0.402,431,425,407,266,238,201,725.607
8,23,8,16,12,0.862,0.828,0.742,0.532,0.486,0.422,431,414,371,266,243,211,745.388
8,24,8,17,11,0.862,0.802,0.69,0.532,0.472,0.424,431,401,345,266,236,212,767.384
8,25,8,18,10,0.862,0.816,0.726,0.532,0.502,0.442,431,408,363,266,251,221,767.223
8,26,8,19,9,0.862,0.838,0.826,0.532,0.514,0.484,431,419,413,266,257,242,768.225
8,27,8,20,8,0.862,0.852,0.852,0.532,0.502,0.476,431,426,426,266,251,238,778.416
8,28,8,21,7,0.862,0.858,0.85,0.532,0.526,0.504,431,429,425,266,263,252,791.522
9,20,9,12,15,0.862,0.856,0.852,0.532,0.522,0.462,431,428,426,266,261,231,693.803
9,21,9,13,14,0.862,0.864,0.82,0.532,0.514,0.43,431,432,410,266,257,215,704.966
9,22,9,14,13,0.862,0.86,0.826,0.532,0.486,0.398,431,430,413,266,243,199,715.879
9,23,9,15,12,0.862,0.83,0.74,0.532,0.488,0.434,431,415,370,266,244,217,726.494
9,24,9,16,11,0.862,0.8,0.702,0.532,0.496,0.428,431,400,351,266,248,214,735.826
9,25,9,17,10,0.862,0.81,0.728,0.532,0.496,0.45,431,405,364,266,248,225,746.795
9,26,9,18,9,0.862,0.84,0.826,0.532,0.518,0.488,431,420,413,266,259,244,758.858
9,27,9,19,8,0.862,0.856,0.85,0.532,0.5,0.484,431,428,425,266,250,242,768.405
9,28,9,20,7,0.862,0.856,0.85,0.532,0.522,0.516,431,428,425,266,261,258,778.491
10,20,10,11,15,0.862,0.868,0.86,0.532,0.518,0.464,431,434,430,266,259,232,685.613
10,21,10,12,14,0.862,0.87,0.85,0.532,0.52,0.468,431,435,425,266,260,234,694.544
10,22,10,13,13,0.862,0.858,0.83,0.532,0.484,0.402,431,429,415,266,242,201,704.265
10,23,10,14,12,0.862,0.834,0.796,0.532,0.482,0.442,431,417,398,266,241,221,715.623
10,24,10,15,11,0.862,0.806,0.708,0.532,0.486,0.43,431,403,354,266,243,215,726.25
10,25,10,16,10,0.862,0.82,0.748,0.532,0.498,0.452,431,410,374,266,249,226,735.521
10,26,10,17,9,0.862,0.838,0.834,0.532,0.51,0.482,431,419,417,266,255,241,743.867
10,27,10,18,8,0.862,0.86,0.858,0.532,0.498,0.486,431,430,429,266,249,243,757.508
10,28,10,19,7,0.862,0.858,0.858,0.532,0.518,0.504,431,429,429,266,259,252,766.484
11,20,11,10,15,0.862,0.856,0.854,0.532,0.52,0.48,431,428,427,266,260,240,671.849
11,21,11,11,14,0.862,0.866,0.852,0.532,0.502,0.46,431,433,426,266,251,230,685.115
11,22,11,12,13,0.862,0.856,0.826,0.532,0.478,0.436,431,428,413,266,239,218,696.361
11,23,11,13,12,0.862,0.836,0.794,0.532,0.502,0.46,431,418,397,266,251,230,704.443
11,24,11,14,11,0.862,0.812,0.726,0.532,0.48,0.442,431,406,363,266,240,221,715.792
11,25,11,15,10,0.862,0.828,0.758,0.532,0.502,0.456,431,414,379,266,251,228,724.838
11,26,11,16,9,0.862,0.846,0.832,0.532,0.514,0.49,431,423,416,266,257,245,739.684
11,27,11,17,8,0.862,0.858,0.854,0.532,0.512,0.488,431,429,427,266,256,244,769.015
11,28,11,18,7,0.862,0.86,0.854,0.532,0.516,0.506,431,430,427,266,258,253,778.44
12,20,12,9,15,0.862,0.854,0.846,0.532,0.53,0.476,431,427,423,266,265,238,665.63
12,21,12,10,14,0.862,0.86,0.844,0.532,0.496,0.462,431,430,422,266,248,231,675.014
12,22,12,11,13,0.862,0.846,0.826,0.532,0.49,0.442,431,423,413,266,245,221,685.591
12,23,12,12,12,0.862,0.83,0.788,0.532,0.496,0.46,431,415,394,266,248,230,695.21
12,24,12,13,11,0.862,0.81,0.726,0.532,0.492,0.452,431,405,363,266,246,226,705.973
12,25,12,14,10,0.862,0.83,0.77,0.532,0.502,0.47,431,415,385,266,251,235,721.73
12,26,12,15,9,0.862,0.852,0.83,0.532,0.508,0.492,431,426,415,266,254,246,724.491
12,27,12,16,8,0.862,0.86,0.854,0.532,0.506,0.48,431,430,427,266,253,240,737.46
12,28,12,17,7,0.862,0.86,0.854,0.532,0.514,0.498,431,430,427,266,257,249,746.534
13,20,13,8,15,0.862,0.85,0.828,0.532,0.51,0.458,431,425,414,266,255,229,653.61
13,21,13,9,14,0.862,0.852,0.824,0.532,0.486,0.446,431,426,412,266,243,223,667.102
13,22,13,10,13,0.862,0.844,0.818,0.532,0.484,0.438,431,422,409,266,242,219,661.253
13,23,13,11,12,0.862,0.838,0.794,0.532,0.492,0.45,431,419,397,266,246,225,619.276
13,24,13,12,11,0.862,0.814,0.742,0.532,0.502,0.462,431,407,371,266,251,231,628.928
13,25,13,13,10,0.862,0.828,0.768,0.532,0.512,0.468,431,414,384,266,256,234,638.509
13,26,13,14,9,0.862,0.848,0.84,0.532,0.516,0.496,431,424,420,266,258,248,649.347
13,27,13,15,8,0.862,0.864,0.858,0.532,0.512,0.482,431,432,429,266,256,241,660.62
13,28,13,16,7,0.862,0.86,0.854,0.532,0.518,0.504,431,430,427,266,259,252,669.181
14,20,14,7,15,0.862,0.864,0.858,0.532,0.502,0.46,431,432,429,266,251,230,572.45
14,21,14,8,14,0.862,0.86,0.836,0.532,0.498,0.456,431,430,418,266,249,228,585.19
14,22,14,9,13,0.862,0.85,0.83,0.532,0.498,0.448,431,425,415,266,249,224,595.95
14,23,14,10,12,0.862,0.838,0.814,0.532,0.49,0.462,431,419,407,266,245,231,642.071
14,24,14,11,11,0.862,0.822,0.762,0.532,0.504,0.466,431,411,381,266,252,233,457.391
14,25,14,12,10,0.862,0.828,0.786,0.532,0.506,0.486,431,414,393,266,253,243,309.068
14,26,14,13,9,0.862,0.854,0.846,0.532,0.514,0.492,431,427,423,266,257,246,316.643
